Questions,Answers,Type,Ask,QueryUser?,
"esv: so that every mouth may be stopped, and the whole world may be held accountable to God. For by works of the law no human being will be justified in his sight, since through the law comes knowledge of sin.",blanks,31,0,0,
PFLN - 3:20b,"sight, since, sin, but",31,0,0,
pick3: since through the law comes knowledge of sin.,3:20b,31,0,0,
"#SHORT_VERSE_REPEAT#esv: so that every mouth may be stopped, and the whole world may be held accountable to God. For by works of the law no human being will be justified in his sight, since through the law comes knowledge of sin.",blanks,31,0,0,
#,,,,,
PFLN - 3:21a,"sin, But, law, although",32,0,,
pick3: But now the righteousness of God has been manifested apart from the law,3:21a,32,0,,
esv: since through the law comes knowledge of sin.  But now the righteousness of God has been manifested apart from the law,blanks,32,0,,
PFLN - 3:21b,"law, although, it, the",32,0,,
pick3: although the Law and the Prophets bear witness to it,3:21b,32,0,,
esv: But now the righteousness of God has been manifested apart from the law although the Law and the Prophets bear witness to it,blanks,32,0,,
PFLN - 3:22,"it, the, distinction, for",32,0,,
pick3: the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction,3:22,32,0,,
esv: although the Law and the Prophets bear witness to it the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction,blanks,32,0,,
PFLN - 3:23,"distinction, for, God, and",32,0,,
"pick3: for all have sinned and fall short of the glory of God,",3:23,32,0,,
"esv: the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction for all have sinned and fall short of the glory of God,",blanks,32,0,,
PFLN - 3:24,"God, and, Jesus, whom",32,0,,
"pick3: and are justified by his grace as a gift, through the redemption that is in Christ Jesus,",3:24,32,0,,
"esv: for all have sinned and fall short of the glory of God, and are justified by his grace as a gift, through the redemption that is in Christ Jesus,",blanks,32,0,,
PFLN - 3:25a,"Jesus, whom, blood, to",32,0,,
pick3: whom God put forward as a propitiation by his blood,3:25a,32,0,,
"esv: and are justified by his grace as a gift, through the redemption that is in Christ Jesus, whom God put forward as a propitiation by his blood",blanks,32,0,,
PFLN - 3:25b,"blood, to, righteousness, because",32,0,,
pick3: to be received by faith. This was to show God's righteousness,3:25b,32,0,,
esv: whom God put forward as a propitiation by his blood to be received by faith. This was to show God's righteousness,blanks,32,0,,
PFLN - 3:25c,"righteousness, because, sins, It",32,0,,
pick3: because in his divine forbearance he had passed over former sins.,3:25c,32,0,,
esv: to be received by faith. This was to show God's righteousness because in his divine forbearance he had passed over former sins.,blanks,32,0,,
PFLN - 3:26a,"sins, It, time, so",32,0,,
pick3: It was to show his righteousness at the present time,3:26a,32,0,,
esv: because in his divine forbearance he had passed over former sins. It was to show his righteousness at the present time,blanks,32,0,,
PFLN - 3:26b,"time, so, Jesus, ?",32,0,,
pick3: so that he might be just and the justifier of the one who has faith in Jesus.,3:26b,32,0,,
esv: It was to show his righteousness at the present time so that he might be just and the justifier of the one who has faith in Jesus.,blanks,32,0,,
#,,,,,
FLN - 2 Cor 3:18a,"and, image, from",33,0,14,
"pick3: and we all, with unveiled face, beholding the glory of the Lord, are being transformed into the same image",2 Cor 3:18a,33,0,14,
PFL - 2 Cor 3:18b,"image, from, Spirit",33,0,14,
pick3: from one degree of glory to another.  For this comes from the Lord who is the Spirit.,2 Cor 3:18b,33,0,14,
"esv: and we all, with unveiled face, beholding the glory of the Lord, are being transformed into the same image from one degree of glory to another.  For this comes from the Lord who is the Spirit.",blanks,33,0,14,
FL - Heb 12:14,"strive, Lord",33,0,14,
"pick3: strive for peace with everyone, and for the holiness without which no one will see the Lord",Heb 12:14,33,0,14,
"esv: strive for peace with everyone, and for the holiness without which no one will see the Lord",blanks,33,0,14,
FLN -  1 Cor 6:11a,"And, sanctified, you",33,0,13,
"pick3: And such were some of you. But you were washed, you were sanctified",1 Cor 6:11a,33,0,13,
PFL - 1 Cor 6:11b,"sanctified, you, God",33,0,13,
pick3: you were justified in the name of the Lord Jesus Christ and by the Spirit of our God,1 Cor 6:11b,33,0,13,
"esv: And such were some of you. But you were washed, you were sanctified, you were justified in the name of the Lord Jesus Christ and by the Spirit of our God",blanks,33,0,13,
,,,,,
1 Cor 1:2a - FL,"To, saints",,34,10,
"pick3: To the church of God that is in Corinth, to those sanctified in Christ Jesus, called to be saints",1 Cor 1:2a,34,34,10,
"esv: To the church of God that is in Corinth, to those sanctified in Christ Jesus, called to be saints",blanks,,34,10,
1 Pet 1:2a - FLN,"according, Spirit, for",,34,10,
"pick3: according to the foreknowledge of God the Father, in the sanctification of the Spirit",1 Pet 1:2a,34,34,10,
1 Pet 1:2b - PFL,"Spirit, for, blood",,34,10,
pick3: for obedience to Jesus Christ and for sprinkling with his blood,1 Pet 1:2b,34,34,10,
"esv: according to the foreknowledge of God the Father, in the sanctification of the Spirit for obedience to Jesus Christ and for sprinkling with his blood",blanks,,34,10,
,,,,,
1 Thess 5:23a - FLN,"Now, whole, spirit",,35,10,
pick3: Now may the God of peace himself sanctify you completely and may your whole ,1 Thess 5:23a,35,35,10,
1 Thess 5:23b - PFL,"whole, spirit, Christ",,35,10,
pick3: spirit and soul and body be kept blameless at the coming of our Lord Jesus Christ,1 Thess 5:23b,35,35,10,
esv: Now may the God of peace himself sanctify you completely and may your whole spirit and soul and body be kept blameless at the coming of our Lord Jesus Christ,blanks,,35,10,"How can we be kept holy ""at"" his coming?  Shouldn't ""at"" be changed to ""until""? Maybe he's saying that at that day, we hope that the whole spirit and soul and body ""has been"" kept holy.
What does it mean to be ""completely"" sanctified?"
Heb 12:10a - FLN,"For, them, but",,35,9,
pick3: For they disciplined us for a short time as it seemed best to them,Heb 12:10a,35,35,9,
Heb 12:10b - FLN,"them, but, holiness",,35,9,
"pick3: but He disciplines us for our good, that we may share in his holiness.",Heb 12:10b,35,35,9,
"esv: For they disciplined us for a short time as it seemed best to them, but He disciplines us for our good, that we may share in his holiness.",blanks,,35,9,
,,,,,
Rom 7:6a - FLN,"But, captive, so",,36,8,
"pick3: But now we are released from the law, having died to that which held us captive",Rom 7:6a,36,36,8,
Rom 7:6b - PFL,"captive, so, code",,36,8,
pick3: so that we serve in the new way of the Spirit and not in the old way of the written code.,Rom 7:6b,36,36,8,
"esv: But now we are released from the law, having died to that which held us captive, so that we serve in the new way of the Spirit and not in the old way of the written code.",blanks,,36,8,
1 Thess 4:7 - FL,"For, holiness",,36,8,
"pick3: For God has not called us for impurity, but in holiness",1 Thess 4:7,36,36,8,
"esv: For God has not called us for impurity, but in holiness",blanks,,36,8,"Why the switch from ""for"" to ""in""?  ""Called"" & hagio: see also 1 Cor 1:2a"
,,,,,
,,,,,
#,1 Thess 4:3,34,8,8,
#,1 Thess 4:3,34,8,8,
#,Rom 6:19,34,7,7,
#,Rom 6:19,34,7,7,
#,Rom 8:29,34,7,7,
#,Rom 8:29,34,7,7,
#,1 Thess 3:13,34,7,7,
#,1 Thess 3:13,34,7,7,
#,Heb 2:11,34,7,7,
#,Heb 2:11,34,7,7,
#,Heb 10:10,34,7,7,
#,Heb 10:10,34,7,7,
,,,,,
#,John 17:17,,6,6,
#,John 17:19,,6,6,
#,Rom 1:4,,6,6,
#,Rom 6:22,,6,6,
#,Rom 7:23,,6,6,
#,Rom 8:23,,6,6,
#,Rom 12:1,,6,6,
#,Rom 12:2,,6,6,
#,1 Thess 4:4,,6,6,
#,Rom 6:6,,5,5,
#,Rom 6:14,,5,5,
